	res	x1	x3	x_N-4	x_N-2
15642	8.081732682518883e-07	-0.4999997930738725	-2.4999989676139105	-97.49999901490322	-99.49999980294174
15643	8.073759138471637e-07	-0.49999979327803223	-2.4999989686324944	-97.49999901587515	-99.49999980313616
15644	8.065792254652315e-07	-0.4999997934819905	-2.499998969650074	-97.49999901684612	-99.49999980333038
15645	8.05783529123083e-07	-0.4999997936857476	-2.4999989706666486	-97.49999901781612	-99.49999980352443
15646	8.049886448535659e-07	-0.49999979388930366	-2.4999989716822215	-97.49999901878518	-99.49999980371828
15647	8.041942309855443e-07	-0.49999979409265877	-2.4999989726967913	-97.49999901975329	-99.49999980391193
15648	8.034008047164143e-07	-0.4999997942958133	-2.4999989737103605	-97.49999902072042	-99.4999998041054
15649	8.026080307588224e-07	-0.49999979449876747	-2.499998974722929	-97.4999990216866	-99.49999980429868
15650	8.018162830913944e-07	-0.4999997947015212	-2.4999989757344996	-97.49999902265183	-99.49999980449178
15651	8.010250691081744e-07	-0.49999979490407515	-2.499998976745072	-97.49999902361611	-99.49999980468466
15652	8.002348234059653e-07	-0.49999979510642917	-2.4999989777546463	-97.49999902457945	-99.49999980487736
15653	7.994453817827818e-07	-0.49999979530858357	-2.4999989787632253	-97.49999902554183	-99.49999980506988
15654	7.986564235507032e-07	-0.49999979551053836	-2.499998979770809	-97.49999902650325	-99.49999980526219
15655	7.978686799581247e-07	-0.499999795712294	-2.4999989807773995	-97.49999902746373	-99.49999980545434
15656	7.970813374336139e-07	-0.49999979591385063	-2.499998981782996	-97.49999902842326	-99.49999980564628
15657	7.962949445938783e-07	-0.4999997961152084	-2.4999989827876004	-97.49999902938185	-99.49999980583803
15658	7.955093045408645e-07	-0.4999997963163674	-2.4999989837912135	-97.49999903033951	-99.4999998060296
15659	7.947244007322496e-07	-0.49999979651732795	-2.4999989847938373	-97.4999990312962	-99.49999980622098
15660	7.939404008117101e-07	-0.4999997967180903	-2.4999989857954708	-97.49999903225196	-99.49999980641216
